Region,WRI
Vanuatu,41.37727273
Tonga,29.05
Philippines,25.32909091
Solomon Islands,22.20090909
Guatemala,20.47636364
Bangladesh,18.51272727
Timor-Leste,16.22818182
Costa Rica,17.08727273
Cambodia,16.44090909
El Salvador,16.24090909
Nicaragua,14.68636364
Papua New Guinea,18.05181818
Madagascar,11.22363636
Brunei,17.90636364
Afghanistan,9.887272727
Niger,12.37
Gambia,12.15181818
Bhutan,7.070909091
Fiji,14.64181818
Guinea-Bissau,13.41545455
Jamaica,12.05454545
Chad,11.47636364
Honduras,10.98727273
Dominican Republic,11.41818182
Chile,11.76090909
Mauritius,13.13727273
Senegal,10.61636364
Indonesia,10.60363636
Burkina Faso,10.24
Burundi,10.40818182
Mali,9.581818182
Haiti,12.74090909
Sierra Leone,10.35181818
Vietnam,11.86181818
Japan,11.95636364
Benin,11.43545455
Togo,10.50727273
Cameroon,11.64909091
Albania,9.424545455
Mozambique,9.168181818
Mauritania,8.285454545
Zimbabwe,9.766363636
Guinea,8.540909091
Cape Verde,12.50272727
Uzbekistan,8.438181818
Ghana,8.912727273
Suriname,8.132727273
Sudan,8.355454545
Liberia,8.415454545
Nigeria,9.578181818
Ivory Coast,9.231818182
Guyana,15.41454545
Malawi,8.415454545
Ecuador,8.043636364
Rwanda,7.493636364
Tanzania,8.412727273
Myanmar,8.371818182
Kyrgyzstan,7.927272727
Zambia,7.583636364
Ethiopia,5.4755
Algeria,7.73
Angola,8.09
Samoa,5.887142857
Lesotho,7.136363636
Sri Lanka,7.564545455
Pakistan,7.012727273
Kenya,7.952727273
Democratic Republic of the Congo,7.482
Netherlands,8.074545455
Panama,7.543636364
India,6.96
Uganda,7.308181818
Tajikistan,6.744545455
Eswatini,7.258181818
Peru,6.813636364
Eritrea,6.488181818
Central African Republic,6.9825
Morocco,6.544545455
Greece,7.036363636
Djibouti,11.73454545
Georgia,6.288181818
Turkmenistan,6.383636364
Comoros,9.484545455
Armenia,6.251818182
Thailand,6.397272727
Colombia,6.708181818
Yemen,6.02
Azerbaijan,5.95
Equatorial Guinea,5.569090909
Trinidad and Tobago,7.966363636
Malaysia,6.815454545
Namibia,5.806363636
Mexico,6.174545455
Room,6.43
China,6.415454545
Gabon,6.337272727
Bosnia and Herzegovina,5.722727273
Syria,5.756363636
Nepal,5.288181818
Venezuela,6.603636364
Cuba,6.129090909
Belize,7.022727273
Republic of North Macedonia,5.969
Laos,5.336363636
Iraq,5.189090909
Tunisia,5.651818182
South Africa,5.854545455
Botswana,4.985454545
Hungary,5.352727273
Serbia,6.482727273
Turkey,5.258181818
Bolivia,4.883636364
Jordan,4.582727273
Iran,4.870909091
Lebanon,5.085454545
Moldova,4.59
Italy,4.608181818
Bahamas,4.241818182
Australia,4.337272727
New Zealand,4.569090909
Brazil,4.415454545
Ireland,4.445454545
Czech Republic,3.399090909
South Korea,5.129090909
Paraguay,3.636363636
United Arab Emirates,2.721
Bulgaria,4.236363636
Kazakhstan,3.689090909
Uruguay,6.280909091
Argentina,3.613636364
São Tomé and Príncipe,3.02
Slovenia,3.532727273
United States,3.804285714
Croatia,4.073636364
Kuwait,3.74
Libya,3.719090909
Portugal,3.569090909
United Kingdom,3.528181818
Russia,3.658181818
Belgium,3.128181818
Cyprus,2.872727273
Mongolia,3.027272727
Poland,3.23
Austria,3.370909091
Slovakia,3.431818182
Spain,3.285454545
Latvia,3.229090909
Ukraine,2.968181818
Belarus,2.9625
Germany,2.878181818
Lithuania,2.761818182
Singapore,2.444545455
Oman,2.712727273
France,2.62
Luxembourg,2.503636364
Seychelles,3.454545455
Israel,2.562727273
Canada,2.964545455
Switzerland,2.366363636
Barbados,1.383636364
Egypt,2.139090909
Grenada,1.396363636
Norway,2.366363636
Estonia,2.294545455
Finland,2.136363636
Sweden,2.179090909
Kiribati,6.597272727
Bahrain,2.158181818
Iceland,1.593636364
Saudi Arabia,1.161818182
Malta,0.622727273
Qatar,0.166363636
Rum,5.9575
Wei County, Xingtai,2.988571429
Ver, Manche,3.476
Congo,7.587777778
Romania,6.416666667
Denmark,2.91
Dominica,27.945
Antigua and Barbuda,28.50666667
Federated States of Micronesia,7.406666667
Montenegro,6.766666667
Rum,5.71
Saint Lucia,4.58
Maldives,1.963333333
Saint Vincent and the Grenadines,0.77
